text,sentiment,word_count,char_count,avg_word
id responded going,neutral,3,18,5.333333333333333
,negative,1,0,0.0
bos bullying,negative,2,12,5.5
interview leave alone,negative,3,21,6.333333333333333
son couldnt put release already bought,negative,6,38,5.5
shameless plugging best ranger forum earth,neutral,6,42,6.166666666666667
2am feeding baby fun smile coo,positive,6,30,4.166666666666667
,neutral,1,0,0.0
,neutral,1,0,0.0
journey wow became cooler hehe possible,positive,6,39,5.666666666666667
much love hopeful reckon chance minimal p im never going get cake stuff,neutral,13,71,4.538461538461538
really really like song love story taylor swift,positive,8,47,5.0
sharpie running dangerously low ink,negative,5,35,6.2
want go music tonight lost voice,negative,6,32,4.5
test test lg env2,neutral,4,17,3.5
,negative,1,0,0.0
sok trying plot alternative speak sigh,negative,6,38,5.5
ive sick past day thus hair look wierd hat would look,negative,11,53,3.909090909090909
back home going miss every one,negative,6,30,4.166666666666667
he,neutral,1,2,2.0
oh marly im sorry hope find soon 3 3,neutral,9,36,3.111111111111111
playing ghost online really interesting new update kirin pet metamorph third job cant wait dragon pet,positive,16,101,5.375
cleaning house family comming later today,neutral,6,41,6.0
got restart computer thought win7 supposed put end constant rebootiness,neutral,10,71,6.2
see wat mean bout foll0w friidays called lose f0llowers friday smh,neutral,11,66,5.090909090909091
free fillin app ipod fun addicted,positive,6,33,4.666666666666667
,negative,1,0,0.0
way malaysiano internet access twit,negative,5,35,6.2
juss came backk berkeleyy omg madd fun minute whassqoodd,positive,9,56,5.333333333333333
went sleep power cut noida power back working,negative,8,45,4.75
im going home seen new twitter design quiteheavenly,positive,8,51,5.5
hope unni make audition fighting dahye unni,positive,7,43,5.285714285714286
consolation got bmi tested hahaha say obesed well much unhappy 10 minute,negative,12,72,5.083333333333333
thats funny cute kid,positive,4,20,4.25
ahhh slept game im going try best watch tomorrow though hope play army,neutral,13,70,4.461538461538462
end tear fear v eric prydz dj hero,neutral,8,34,3.375
born raised nyc living texas past 10 year still miss ny,negative,11,55,4.090909090909091
case wonder really busy today coming adding ton new blog update stay tuned,neutral,13,74,4.769230769230769
,negative,1,0,0.0
little happy wine jeje ok itsm free time care jaja love day,positive,12,59,4.0
car happy big big dent boot hoping going write crossing finger waiting,neutral,12,70,4.916666666666667
avid fan magazine love magazine,positive,5,31,5.4
,neutral,1,0,0.0
ratt rocked nashville toniteone thing sucked encore like 80 still fun show pearcy hott bad boy look,neutral,17,99,4.882352941176471
love im available 5pm dear would love help convert vidsï¿½,positive,10,58,4.9
girl hair salon asked 'shall trim eyebrows' old feel,neutral,9,52,4.888888888888889
,negative,1,0,0.0
visiting friendster facebook,neutral,3,28,8.666666666666666
donbt like peel prawn also like going shopping running money crawling round car looking,negative,14,87,5.285714285714286
case got new one last week im thrilled mine,negative,9,43,3.888888888888889
check connect tweeple hate twitter,neutral,5,34,6.0
also bored school third freelesson freistunde,neutral,6,45,6.666666666666667
hm u guess,neutral,3,10,2.6666666666666665
dissappointed past day,negative,3,22,6.666666666666667
romance zero funny,positive,3,18,5.333333333333333
id rather early runbut morning runner,neutral,6,37,5.333333333333333
bah coworker ran work late bag smacked knee really hurt,negative,10,55,4.6
back later,neutral,2,10,4.5
aw torn ace heart hunchback,negative,5,27,4.6
fun speaking,neutral,2,12,5.5
lost friend im alone sleepyi want go home,negative,8,41,4.25
,neutral,1,0,0.0
give easily,negative,2,11,5.0
better way spoil mum let kick back relax nice meal bottle favorite wine wine red,positive,15,80,4.4
mannnn got iphone jealous,negative,4,25,5.5
photoshoot,neutral,1,10,10.0
he awesome worked he good friend,positive,6,32,4.5
yay playing show tonight boo going soggy im work right playing,neutral,11,62,4.7272727272727275
,positive,1,0,0.0
know agent let know,neutral,4,19,4.0
,neutral,1,0,0.0
celticslakers rematch sound better dont think lol,positive,7,49,6.142857142857143
anyone extra keane ticket promise buy drink take rad pic fb blog flickr etc,neutral,14,75,4.428571428571429
'you ride one catch one summer til pop open one',neutral,10,48,3.9
good gorjuz yea kno asked yesterday tha hospital talked said,neutral,10,60,5.1
ok im popped say hi check thing ill probably head guttah later tonight,neutral,13,70,4.461538461538462
wow really missin family today baddd,negative,6,36,5.166666666666667
source say,neutral,2,10,4.5
,negative,1,0,0.0
hey change twitter account didnt even tell,neutral,7,42,5.142857142857143
thank yyyyyyyyyoooooooooouuuuu,positive,2,30,14.5
lucky kidi want see loserville pity oz,positive,7,38,4.571428571428571
fell asleep waiting ride,neutral,4,24,5.25
sick flu like thing,negative,4,19,4.0
still reply simfinger problem irape parody video get response sorry guy,negative,11,71,5.545454545454546
happy star war day everyone enjoy holiday uk,positive,8,44,4.625
